305	91	36
268	121	219
217	127	172
351	145	242
318	175	59
272	187	56
174	218	129
231	237	315
307	239	65
206	259	295
245	261	262
193	270	115
237	275	262
359	348	54
275	352	36
222	353	18
249	358	28
168	359	158
178	380	162
262	394	8
125	404	165
180	60	505
367	131	591
111	164	485
230	168	384
90	215	667
188	234	667
111	272	493
187	291	666
215	293	641
71	308	493
218	312	626
205	314	647
176	340	497
326	343	405
192	348	497
184	354	700
121	360	508
308	375	396
105	386	506
