342	49	47
383	79	231
343	91	43
336	94	231
255	96	332
196	97	108
269	111	328
266	121	188
251	150	266
283	151	248
217	162	270
136	170	281
180	176	270
275	214	252
115	231	281
149	234	278
120	243	101
305	253	56
129	256	288
190	275	245
161	280	270
350	285	34
293	292	43
241	299	47
383	319	25
122	366	172
342	372	11
165	399	176
235	91	482
190	206	630
262	293	395
164	302	516
181	303	391
202	310	394
138	313	501
353	319	374
128	337	501
252	338	384
234	344	381
286	346	377
207	354	367
311	366	371
209	372	713
165	374	533
193	391	706
